sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members,predicted_probability,actual_label
250,-0.198275,-0.1070085,-0.0030441806,-0.0058116973,0.1813923,-0.07010167,0.0137552135,0.13862473,-0.69363177,-0.04789133,0.37245262,-0.024858916,0.47025928,-0.056058023,0.14425172,0.032925684,0.53777105,0
97,-0.06406712,0.07673334,0.025081294,-0.076143704,-0.66349334,0.058753315,-0.043757886,0.012252547,0.03817399,-0.05514157,0.70149016,-0.18873103,-0.15493603,0.029648606,0.0070475056,-0.109524116,0.40077865,1
654,-0.1360388,0.1177726,-0.088214174,0.15659389,0.53337413,0.086679205,-0.010790337,0.07183828,0.08190922,-0.03818964,0.00354987,-0.08748415,-0.104495734,0.0064018145,0.06466677,0.022613157,0.6647598,1
155,0.5294541,-0.16101281,-0.15707257,0.006883911,-0.2284285,-0.07755003,0.00983642,-0.05088493,-0.32006195,0.009437835,0.31108758,0.14487919,-0.08245313,-0.06741198,0.006800426,0.010977399,0.47224677,1
527,0.38718688,-0.12272397,-0.3114551,0.15025505,0.66214335,0.034468304,-0.0007091407,0.023175687,0.2633969,0.03255807,0.6271867,0.038295522,-0.0021329778,0.01199659,0.050654944,-0.16004004,0.8440465,0
596,-0.45553485,0.13406362,-0.02489881,0.107437514,0.50391406,0.0863249,-0.007879601,0.02178467,0.14776653,0.0054816077,-0.20668529,-0.101710565,-0.07621113,0.011518181,0.030075377,0.080818206,0.5647977,1
668,0.15394498,0.1266401,0.0014923736,-0.039466318,0.059880592,-0.13066755,0.00015795638,-0.07257055,0.24179052,0.0025080536,-0.21834294,0.10905394,0.088125266,0.042873833,0.025244657,-0.012091958,0.59458804,0
408,0.35992804,0.066113,0.014948727,-0.28825268,-0.5005048,0.0460709,0.0052952003,-0.010228031,-0.61268103,0.021244565,0.03859907,-0.105126716,0.11724547,-0.08796596,-0.06628781,-0.19834663,0.23226672,1
81,0.13291557,0.099559866,-0.05227404,-0.0074106753,-0.06203382,-0.08402625,0.0011801366,-0.05756815,0.31990597,-0.004647099,-0.19780844,0.04725115,0.07739924,0.04554212,0.02210444,-0.032054473,0.56277394,1
382,0.28195363,-0.099691615,-0.12988977,0.1389163,0.8483391,0.06644659,-0.0046696765,0.08461568,0.10567305,0.023347314,0.74539524,0.16363527,-0.121707976,0.020847153,0.06926148,0.0768926,0.9066801,1
